ID	Notes	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
NM_000797	 	DRD4	dopamine receptor D4	Plasma Membrane	G-protein coupled receptor	paliperidone, carbidopa/entacapone/levodopa, iloperidone, flibanserin, asenapine, rotigotine, carbidopa/levodopa, trifluoperazine, fluphenazine, pimozide, clozapine, haloperidol, fluoxetine/olanzapine, fluphenazine decanoate, thiothixene, amitriptyline/perphenazine, haloperidol decanoate, trimethobenzamide, fluphenazine enanthate, perphenazine, promazine, prochlorperazine, pramipexole, olanzapine, lisuride, ziprasidone, mesoridazine, thioridazine, aripiprazole, ropinirole, dihydroergocryptine, apomorphine, pergolide, dopamine, droperidol, L-dopa	
NM_000798	 	DRD5	dopamine receptor D5	Plasma Membrane	G-protein coupled receptor	carbidopa/entacapone/levodopa, iloperidone, zuclopenthixol, carbidopa/levodopa, amantadine, trifluoperazine, fluphenazine, pimozide, clozapine, haloperidol, fenoldopam, fluphenazine decanoate, thiothixene, amitriptyline/perphenazine, haloperidol decanoate, trimethobenzamide, fluphenazine enanthate, perphenazine, promazine, prochlorperazine, pramipexole, olanzapine, lisuride, ziprasidone, mesoridazine, thioridazine, ropinirole, dihydroergocryptine, apomorphine, pergolide, dopamine, L-dopa	
NM_004147	 	DRG1	developmentally regulated GTP binding protein 1	Cytoplasm	other	 	
NM_001276451	 	DRGX	dorsal root ganglia homeobox	Nucleus	other	 	
NM_016449	 	DRICH1	aspartate-rich 1	Other	other	 	
NM_013235	D	DROSHA	drosha, ribonuclease type III	Nucleus	enzyme	 	
NM_001100412	D	DROSHA	drosha, ribonuclease type III	Nucleus	enzyme	 	
NM_001939	D	DRP2	dystrophin related protein 2	Plasma Membrane	other	 	
NM_001171184	D	DRP2	dystrophin related protein 2	Plasma Membrane	other	 	
NM_024423	D	DSC3	desmocollin 3	Plasma Membrane	other	 	
NM_001941	D	DSC3	desmocollin 3	Plasma Membrane	other	 	
NR_038898	D	DSCAM-AS1	DSCAM antisense RNA 1	Other	other	 	
NR_038899	D	DSCAM-AS1	DSCAM antisense RNA 1	Other	other	 	
NR_038896	D	DSCAM-AS1	DSCAM antisense RNA 1	Other	other	 	
NR_038900	D	DSCAM-AS1	DSCAM antisense RNA 1	Other	other	 	
NM_020693	 	DSCAML1	Down syndrome cell adhesion molecule like 1	Plasma Membrane	other	 	
NM_024094	 	DSCC1	DNA replication and sister chromatid cohesion 1	Nucleus	other	 	
NR_027695	 	DSCR10	Down syndrome critical region 10 (non-protein coding)	Other	other	 	
NM_006052	 	DSCR3	Down syndrome critical region 3	Nucleus	other	 	
NM_005867	 	DSCR4	Down syndrome critical region 4	Other	other	 	
NR_026842	D	DSCR8	Down syndrome critical region 8	Other	other	 	
NR_026841	D	DSCR8	Down syndrome critical region 8	Other	other	 	
NR_026840	D	DSCR8	Down syndrome critical region 8	Other	other	 	
NR_026839	D	DSCR8	Down syndrome critical region 8	Other	other	 	
NR_026838	D	DSCR8	Down syndrome critical region 8	Other	other	 	
NR_026719	 	DSCR9	Down syndrome critical region 9 (non-protein coding)	Other	other	 	
NM_001080976	D	DSE	dermatan sulfate epimerase	Cytoplasm	enzyme	 	
NM_013352	D	DSE	dermatan sulfate epimerase	Cytoplasm	enzyme	 	
NM_032160	 	DSEL	dermatan sulfate epimerase-like	Extracellular Space	enzyme	 	
NM_001943	 	DSG2	desmoglein 2	Plasma Membrane	other	 	
NR_045216	 	DSG2-AS1	DSG2 antisense RNA 1	Other	other	 	
NM_001944	 	DSG3	desmoglein 3	Plasma Membrane	other	 	
NM_001145317	D	DSN1	DSN1 homolog, MIS12 kinetochore complex component	Nucleus	other	 	
NM_001145316	D	DSN1	DSN1 homolog, MIS12 kinetochore complex component	Nucleus	other	 	
NM_001145315	D	DSN1	DSN1 homolog, MIS12 kinetochore complex component	Nucleus	other	 	
NM_001145318	D	DSN1	DSN1 homolog, MIS12 kinetochore complex component	Nucleus	other	 	
NM_024918	D	DSN1	DSN1 homolog, MIS12 kinetochore complex component	Nucleus	other	 	
NM_004415	D	DSP	desmoplakin	Plasma Membrane	other	 	
NM_001008844	D	DSP	desmoplakin	Plasma Membrane	other	 	
NM_014208	 	DSPP	dentin sialophosphoprotein	Extracellular Space	other	 	
NM_006870	D	DSTN	destrin (actin depolymerizing factor)	Cytoplasm	other	 	
NM_001011546	D	DSTN	destrin (actin depolymerizing factor)	Cytoplasm	other	 	
NR_033796	 	DSTNP2	destrin (actin depolymerizing factor) pseudogene 2	Other	other	 	
NM_001318043	 	DTD1	D-tyrosyl-tRNA deacylase 1	Cytoplasm	enzyme	 	
NM_001170700	D	DTHD1	death domain containing 1	Other	other	 	
NM_001136536	D	DTHD1	death domain containing 1	Other	other	 	
NM_173666	D	DTWD2	DTW domain containing 2	Other	other	 	
NM_001308081	D	DTWD2	DTW domain containing 2	Other	other	 	
NM_004416	 	DTX1	deltex 1, E3 ubiquitin ligase	Nucleus	transcription regulator	 	
NM_001102594	D	DTX2	deltex 2, E3 ubiquitin ligase	Nucleus	other	 	
NM_001102595	D	DTX2	deltex 2, E3 ubiquitin ligase	Nucleus	other	 	
NM_001102596	D	DTX2	deltex 2, E3 ubiquitin ligase	Nucleus	other	 	
NM_020892	D	DTX2	deltex 2, E3 ubiquitin ligase	Nucleus	other	 	
NR_023383	 	DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11 readthrough transcribed pseudogene	Other	other	 	
NM_001286245	D	DTX3	deltex 3, E3 ubiquitin ligase	Cytoplasm	other	 	
NM_001286246	D	DTX3	deltex 3, E3 ubiquitin ligase	Cytoplasm	other	 	
NM_178502	D	DTX3	deltex 3, E3 ubiquitin ligase	Cytoplasm	other	 	
NM_015177	D	DTX4	deltex 4, E3 ubiquitin ligase	Cytoplasm	other	 	
NM_001300727	D	DTX4	deltex 4, E3 ubiquitin ligase	Cytoplasm	other	 	
NR_033255	D	DTYMK	deoxythymidylate kinase	Cytoplasm	kinase	 	
NM_001165031	D	DTYMK	deoxythymidylate kinase	Cytoplasm	kinase	 	
NM_012145	D	DTYMK	deoxythymidylate kinase	Cytoplasm	kinase	 	
NM_017434	D	DUOX1	dual oxidase 1	Plasma Membrane	enzyme	 	
NM_175940	D	DUOX1	dual oxidase 1	Plasma Membrane	enzyme	 	
NM_014080	 	DUOX2	dual oxidase 2	Plasma Membrane	enzyme	 	
NM_144565	D	DUOXA1	dual oxidase maturation factor 1	Plasma Membrane	other	 	
NM_001276264	D	DUOXA1	dual oxidase maturation factor 1	Plasma Membrane	other	 	
NM_001276265	D	DUOXA1	dual oxidase maturation factor 1	Plasma Membrane	other	 	
NM_001276266	D	DUOXA1	dual oxidase maturation factor 1	Plasma Membrane	other	 	
NM_001276267	D	DUOXA1	dual oxidase maturation factor 1	Plasma Membrane	other	 	
NM_001276268	D	DUOXA1	dual oxidase maturation factor 1	Plasma Membrane	other	 	
NM_207581	 	DUOXA2	dual oxidase maturation factor 2	Cytoplasm	other	 	
NM_001003892	 	DUPD1	dual specificity phosphatase and pro isomerase domain containing 1	Other	enzyme	 	
NM_022156	 	DUS1L	dihydrouridine synthase 1-like	Other	other	 	
NM_001161619	D	DUS3L	dihydrouridine synthase 3-like	Other	other	 	
NM_020175	D	DUS3L	dihydrouridine synthase 3-like	Other	other	 	
NM_001270419	D	DUS4L	dihydrouridine synthase 4-like	Other	other	 	
NR_073002	D	DUS4L	dihydrouridine synthase 4-like	Other	other	 	
NR_073003	D	DUS4L	dihydrouridine synthase 4-like	Other	other	 	
NR_073004	D	DUS4L	dihydrouridine synthase 4-like	Other	other	 	
NR_073005	D	DUS4L	dihydrouridine synthase 4-like	Other	other	 	
NM_181581	D	DUS4L	dihydrouridine synthase 4-like	Other	other	 	
NM_004417	 	DUSP1	dual specificity phosphatase 1	Nucleus	phosphatase	 	
NR_111940	D	DUSP10	dual specificity phosphatase 10	Nucleus	phosphatase	 	
NR_111939	D	DUSP10	dual specificity phosphatase 10	Nucleus	phosphatase	 	
NM_007207	D	DUSP10	dual specificity phosphatase 10	Nucleus	phosphatase	 	
NM_003584	 	DUSP11	dual specificity phosphatase 11	Nucleus	phosphatase	 	
NM_007240	 	DUSP12	dual specificity phosphatase 12	Nucleus	phosphatase	 	
NM_001007272	D	DUSP13	dual specificity phosphatase 13	Cytoplasm	phosphatase	 	
NM_016364	D	DUSP13	dual specificity phosphatase 13	Cytoplasm	phosphatase	 	
NM_001007271	D	DUSP13	dual specificity phosphatase 13	Cytoplasm	phosphatase	 	
NM_001007273	D	DUSP13	dual specificity phosphatase 13	Cytoplasm	phosphatase	 	
NM_007026	 	DUSP14	dual specificity phosphatase 14	Other	phosphatase	 	
NM_177991	D	DUSP15	dual specificity phosphatase 15	Cytoplasm	phosphatase	 	
NM_001012644	D	DUSP15	dual specificity phosphatase 15	Cytoplasm	phosphatase	 	
NM_080611	D	DUSP15	dual specificity phosphatase 15	Cytoplasm	phosphatase	 	
NM_030640	 	DUSP16	dual specificity phosphatase 16	Nucleus	phosphatase	 	
NM_152511	D	DUSP18	dual specificity phosphatase 18	Cytoplasm	phosphatase	 	
NM_001304796	D	DUSP18	dual specificity phosphatase 18	Cytoplasm	phosphatase	 	
NM_001304794	D	DUSP18	dual specificity phosphatase 18	Cytoplasm	phosphatase	 	
NM_001304795	D	DUSP18	dual specificity phosphatase 18	Cytoplasm	phosphatase	 	
NM_080876	D	DUSP19	dual specificity phosphatase 19	Cytoplasm	phosphatase	 	
NM_001142314	D	DUSP19	dual specificity phosphatase 19	Cytoplasm	phosphatase	 	
NM_004418	 	DUSP2	dual specificity phosphatase 2	Nucleus	phosphatase	 	
NM_001286555	D	DUSP22	dual specificity phosphatase 22	Cytoplasm	phosphatase	 	
NM_020185	D	DUSP22	dual specificity phosphatase 22	Cytoplasm	phosphatase	 	
NR_104473	D	DUSP22	dual specificity phosphatase 22	Cytoplasm	phosphatase	 	
NR_104474	D	DUSP22	dual specificity phosphatase 22	Cytoplasm	phosphatase	 	
NR_104475	D	DUSP22	dual specificity phosphatase 22	Cytoplasm	phosphatase	 	
NM_017823	 	DUSP23	dual specificity phosphatase 23	Cytoplasm	phosphatase	 	
NM_001305116	D	DUSP26	dual specificity phosphatase 26 (putative)	Cytoplasm	enzyme	 	
NM_001305115	D	DUSP26	dual specificity phosphatase 26 (putative)	Cytoplasm	enzyme	 	
NM_024025	D	DUSP26	dual specificity phosphatase 26 (putative)	Cytoplasm	enzyme	 	
NM_001080426	 	DUSP27	dual specificity phosphatase 27 (putative)	Other	phosphatase	 	
NM_001033575	 	DUSP28	dual specificity phosphatase 28	Other	enzyme	 	
NM_004090	 	DUSP3	dual specificity phosphatase 3	Cytoplasm	phosphatase	 	
NM_004419	 	DUSP5	dual specificity phosphatase 5	Nucleus	phosphatase	 	
NR_002834	 	DUSP5P1	dual specificity phosphatase 5 pseudogene 1	Other	other	 	
NM_001947	 	DUSP7	dual specificity phosphatase 7	Cytoplasm	phosphatase	 	
NM_001395	D	DUSP9	dual specificity phosphatase 9	Nucleus	phosphatase	 	
NM_001318503	D	DUSP9	dual specificity phosphatase 9	Nucleus	phosphatase	 	
NM_001025249	D	DUT	deoxyuridine triphosphatase	Nucleus	enzyme	TAS-114	
NM_001948	D	DUT	deoxyuridine triphosphatase	Nucleus	enzyme	TAS-114	
NM_001025248	D	DUT	deoxyuridine triphosphatase	Nucleus	enzyme	TAS-114	
NM_001012729	 	DUXA	double homeobox A	Other	other	 	
NR_110526	 	DUXAP10	double homeobox A pseudogene 10	Other	other	 	
NR_122113	 	DUXAP8	double homeobox A pseudogene 8	Other	other	 	
NM_004421	 	DVL1	dishevelled segment polarity protein 1	Cytoplasm	other	 	
NM_004422	 	DVL2	dishevelled segment polarity protein 2	Cytoplasm	other	 	
NM_004423	 	DVL3	dishevelled segment polarity protein 3	Cytoplasm	other	 	
NM_005510	 	DXO	decapping exoribonuclease	Nucleus	enzyme	 	
NM_138812	D	DYDC1	DPY30 domain containing 1	Other	other	 	
NM_001269053	D	DYDC1	DPY30 domain containing 1	Other	other	 	
NR_070308	D	DYDC2	DPY30 domain containing 2	Extracellular Space	other	 	
NR_070309	D	DYDC2	DPY30 domain containing 2	Extracellular Space	other	 	
NM_032372	D	DYDC2	DPY30 domain containing 2	Extracellular Space	other	 	
NM_001270042	D	DYDC2	DPY30 domain containing 2	Extracellular Space	other	 	
NM_001270041	D	DYDC2	DPY30 domain containing 2	Extracellular Space	other	 	
NM_001307955	D	DYNAP	dynactin associated protein	Other	other	 	
NM_173629	D	DYNAP	dynactin associated protein	Other	other	 	
NM_001278421	D	DYNC1I1	dynein, cytoplasmic 1, intermediate chain 1	Cytoplasm	other	 	
NM_004411	D	DYNC1I1	dynein, cytoplasmic 1, intermediate chain 1	Cytoplasm	other	 	
NM_001135556	D	DYNC1I1	dynein, cytoplasmic 1, intermediate chain 1	Cytoplasm	other	 	
NM_001135557	D	DYNC1I1	dynein, cytoplasmic 1, intermediate chain 1	Cytoplasm	other	 	
NM_016141	 	DYNC1LI1	dynein, cytoplasmic 1, light intermediate chain 1	Cytoplasm	other	 	
NM_001377	D	DYNC2H1	dynein, cytoplasmic 2, heavy chain 1	Cytoplasm	other	 	
NM_001080463	D	DYNC2H1	dynein, cytoplasmic 2, heavy chain 1	Cytoplasm	other	 	
NM_015522	D	DYNC2LI1	dynein, cytoplasmic 2, light intermediate chain 1	Cytoplasm	other	 	
NM_001193464	D	DYNC2LI1	dynein, cytoplasmic 2, light intermediate chain 1	Cytoplasm	other	 	
NM_016008	D	DYNC2LI1	dynein, cytoplasmic 2, light intermediate chain 1	Cytoplasm	other	 	
NM_080677	 	DYNLL2	dynein, light chain, LC8-type 2	Cytoplasm	other	 	
NM_001305017	D	DYNLRB2	dynein, light chain, roadblock-type 2	Cytoplasm	other	 	
NR_130943	D	DYNLRB2	dynein, light chain, roadblock-type 2	Cytoplasm	other	 	
NR_130942	D	DYNLRB2	dynein, light chain, roadblock-type 2	Cytoplasm	other	 	
NM_130897	D	DYNLRB2	dynein, light chain, roadblock-type 2	Cytoplasm	other	 	
NM_006520	 	DYNLT3	dynein, light chain, Tctex-type 3	Cytoplasm	other	 	
NM_130438	D	DYRK1A	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	Nucleus	kinase	 	
NM_130436	D	DYRK1A	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	Nucleus	kinase	 	
NM_001396	D	DYRK1A	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	Nucleus	kinase	 	
NM_006484	D	DYRK1B	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1B	Nucleus	kinase	 	
NM_006483	D	DYRK1B	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1B	Nucleus	kinase	 	
NM_004714	D	DYRK1B	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1B	Nucleus	kinase	 	
NM_001282285	D	DYRK4	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 4	Nucleus	kinase	 	
NM_003845	D	DYRK4	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 4	Nucleus	kinase	 	
NR_104115	D	DYRK4	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 4	Nucleus	kinase	 	
NM_001282286	D	DYRK4	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 4	Nucleus	kinase	 	
NM_001093730	 	DYTN	dystrotelin	Other	other	 	
NM_130810	D	DYX1C1	dyslexia susceptibility 1 candidate 1	Nucleus	other	 	
NM_001033559	D	DYX1C1	dyslexia susceptibility 1 candidate 1	Nucleus	other	 	
NM_001033560	D	DYX1C1	dyslexia susceptibility 1 candidate 1	Nucleus	other	 	
NR_037923	 	DYX1C1-CCPG1	DYX1C1-CCPG1 readthrough (NMD candidate)	Other	other	 	
NM_001099407	 	DZANK1	double zinc ribbon and ankyrin repeat domains 1	Other	other	 	
NM_198968	D	DZIP1	DAZ interacting zinc finger protein 1	Cytoplasm	other	 	
NM_014934	D	DZIP1	DAZ interacting zinc finger protein 1	Cytoplasm	other	 	
NM_001170538	D	DZIP1L	DAZ interacting zinc finger protein 1-like	Extracellular Space	other	 	
NM_173543	D	DZIP1L	DAZ interacting zinc finger protein 1-like	Extracellular Space	other	 	
NM_014648	 	DZIP3	DAZ interacting zinc finger protein 3	Cytoplasm	enzyme	 	
NM_005225	 	E2F1	E2F transcription factor 1	Nucleus	transcription regulator	 	
NM_004091	 	E2F2	E2F transcription factor 2	Nucleus	transcription regulator	 	
NM_001950	 	E2F4	E2F transcription factor 4, p107/p130-binding	Nucleus	transcription regulator	 	
NM_001951	D	E2F5	E2F transcription factor 5, p130-binding	Nucleus	transcription regulator	 	
NM_001083589	D	E2F5	E2F transcription factor 5, p130-binding	Nucleus	transcription regulator	 	
NM_001083588	D	E2F5	E2F transcription factor 5, p130-binding	Nucleus	transcription regulator	 	
NM_001288778	D	E4F1	E4F transcription factor 1	Nucleus	transcription regulator	 	
NM_001288776	D	E4F1	E4F transcription factor 1	Nucleus	transcription regulator	 	
NM_004424	D	E4F1	E4F transcription factor 1	Nucleus	transcription regulator	 	
NM_033083	 	EAF1	ELL associated factor 1	Nucleus	transcription regulator	 	
NM_001318916	D	EAPP	E2F-associated phosphoprotein	Cytoplasm	other	 	
NM_018453	D	EAPP	E2F-associated phosphoprotein	Cytoplasm	other	 	
NM_022659	 	EBF2	early B-cell factor 2	Nucleus	transcription regulator	 	
NM_001005463	 	EBF3	early B-cell factor 3	Nucleus	transcription regulator	 	
NM_001110514	 	EBF4	early B-cell factor 4	Nucleus	transcription regulator	 	
NM_005755	 	EBI3	Epstein-Barr virus induced 3	Extracellular Space	cytokine	 	
NM_018029	 	EBLN2	endogenous Bornavirus-like nucleoprotein 2	Other	other	 	
NR_036592	 	EBLN3	endogenous Bornavirus-like nucleoprotein 3	Other	other	 	
NM_001159936	D	EBNA1BP2	EBNA1 binding protein 2	Nucleus	other	 	
NM_006824	D	EBNA1BP2	EBNA1 binding protein 2	Nucleus	other	 	
NM_006579	 	EBP	emopamil binding protein (sterol isomerase)	Cytoplasm	enzyme	SR 31747	
NM_032565	D	EBPL	emopamil binding protein-like	Cytoplasm	enzyme	 	
NM_001278636	D	EBPL	emopamil binding protein-like	Cytoplasm	enzyme	 	
NR_103802	D	EBPL	emopamil binding protein-like	Cytoplasm	enzyme	 	
NR_103803	D	EBPL	emopamil binding protein-like	Cytoplasm	enzyme	 	
NM_001037324	D	ECE2	endothelin converting enzyme 2	Plasma Membrane	peptidase	 	
NM_032331	D	ECE2	endothelin converting enzyme 2	Plasma Membrane	peptidase	 	
NM_014693	D	ECE2	endothelin converting enzyme 2	Plasma Membrane	peptidase	 	
NM_001100121	D	ECE2	endothelin converting enzyme 2	Plasma Membrane	peptidase	 	
NM_001100120	D	ECE2	endothelin converting enzyme 2	Plasma Membrane	peptidase	 	
NM_001290787	D	ECEL1	endothelin converting enzyme-like 1	Plasma Membrane	peptidase	 	
NM_004826	D	ECEL1	endothelin converting enzyme-like 1	Plasma Membrane	peptidase	 	
NR_028501	 	ECEL1P2	endothelin converting enzyme-like 1, pseudogene 2	Other	other	 	
NM_001198962	D	ECHDC2	enoyl-CoA hydratase domain containing 2	Other	other	 	
NM_001198961	D	ECHDC2	enoyl-CoA hydratase domain containing 2	Other	other	 	
NM_018281	D	ECHDC2	enoyl-CoA hydratase domain containing 2	Other	other	 	
NM_004092	 	ECHS1	enoyl-CoA hydratase, short chain, 1, mitochondrial	Cytoplasm	enzyme	 	
NM_001178029	D	ECI1	enoyl-CoA delta isomerase 1	Cytoplasm	enzyme	 	
NM_001919	D	ECI1	enoyl-CoA delta isomerase 1	Cytoplasm	enzyme	 	
NM_001166010	D	ECI2	enoyl-CoA delta isomerase 2	Cytoplasm	enzyme	 	
NM_006117	D	ECI2	enoyl-CoA delta isomerase 2	Cytoplasm	enzyme	 	
NM_206836	D	ECI2	enoyl-CoA delta isomerase 2	Cytoplasm	enzyme	 	
NR_028588	D	ECI2	enoyl-CoA delta isomerase 2	Cytoplasm	enzyme	 	
NM_022664	D	ECM1	extracellular matrix protein 1	Extracellular Space	transporter	 	
NM_001202858	D	ECM1	extracellular matrix protein 1	Extracellular Space	transporter	 	
NM_004425	D	ECM1	extracellular matrix protein 1	Extracellular Space	transporter	 	
NM_001197295	D	ECM2	extracellular matrix protein 2, female organ and adipocyte specific	Extracellular Space	other	 	
NM_001197296	D	ECM2	extracellular matrix protein 2, female organ and adipocyte specific	Extracellular Space	other	 	
NM_001393	D	ECM2	extracellular matrix protein 2, female organ and adipocyte specific	Extracellular Space	other	 	
NR_033909	 	ECRP	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin) pseudogene	Other	other	 	
NR_121659	D	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	Other	other	 	
NM_001077693	D	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	Other	other	 	
NM_001293739	D	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	Other	other	 	
NM_001243204	D	ECSIT	ECSIT signalling integrator	Nucleus	transcription regulator	 	
NM_016581	D	ECSIT	ECSIT signalling integrator	Nucleus	transcription regulator	 	
NM_001142464	D	ECSIT	ECSIT signalling integrator	Nucleus	transcription regulator	 	
NM_001142465	D	ECSIT	ECSIT signalling integrator	Nucleus	transcription regulator	 	
NM_018098	D	ECT2	epithelial cell transforming 2	Cytoplasm	other	 	
NM_001258315	D	ECT2	epithelial cell transforming 2	Cytoplasm	other	 	
NM_001258316	D	ECT2	epithelial cell transforming 2	Cytoplasm	other	 	
NM_001005609	D	EDA	ectodysplasin A	Plasma Membrane	cytokine	 	
NM_001005613	D	EDA	ectodysplasin A	Plasma Membrane	cytokine	 	
NM_001399	D	EDA	ectodysplasin A	Plasma Membrane	cytokine	 	
NM_001005610	D	EDA	ectodysplasin A	Plasma Membrane	cytokine	 	
NM_001005612	D	EDA	ectodysplasin A	Plasma Membrane	cytokine	 	
NM_021783	D	EDA2R	ectodysplasin A2 receptor	Plasma Membrane	transmembrane receptor	 	
NM_001199687	D	EDA2R	ectodysplasin A2 receptor	Plasma Membrane	transmembrane receptor	 	
NM_001242310	D	EDA2R	ectodysplasin A2 receptor	Plasma Membrane	transmembrane receptor	 	
NM_080738	D	EDARADD	EDAR-associated death domain	Cytoplasm	other	 	
NM_145861	D	EDARADD	EDAR-associated death domain	Cytoplasm	other	 	
NM_014329	 	EDC4	enhancer of mRNA decapping 4	Cytoplasm	other	 	
NM_006683	 	EDDM3A	epididymal protein 3A	Extracellular Space	other	 	
NM_022360	 	EDDM3B	epididymal protein 3B	Extracellular Space	other	 	
NM_014674	 	EDEM1	ER degradation enhancer, mannosidase alpha-like 1	Cytoplasm	enzyme	 	
NM_025191	 	EDEM3	ER degradation enhancer, mannosidase alpha-like 3	Cytoplasm	enzyme	 	
NM_005711	D	EDIL3	EGF-like repeats and discoidin I-like domains 3	Extracellular Space	other	 	
NM_001278642	D	EDIL3	EGF-like repeats and discoidin I-like domains 3	Extracellular Space	other	 	
NM_001955	D	EDN1	endothelin 1	Extracellular Space	cytokine	 	
NM_001168319	D	EDN1	endothelin 1	Extracellular Space	cytokine	 	
NM_001302269	D	EDN2	endothelin 2	Extracellular Space	growth factor	 	
NM_001956	D	EDN2	endothelin 2	Extracellular Space	growth factor	 	
NR_126098	D	EDN2	endothelin 2	Extracellular Space	growth factor	 	
NM_001256283	D	EDNRA	endothelin receptor type A	Plasma Membrane	transmembrane receptor	bosentan, avosentan, clazosentan, ambrisentan, sitaxsentan, zibotentan, SB 234551, TBC 3214, BSF 302146, macitentan, ambrisentan/tadalafil, fandosentan, atrasentan	
NM_001166055	D	EDNRA	endothelin receptor type A	Plasma Membrane	transmembrane receptor	bosentan, avosentan, clazosentan, ambrisentan, sitaxsentan, zibotentan, SB 234551, TBC 3214, BSF 302146, macitentan, ambrisentan/tadalafil, fandosentan, atrasentan	
NM_001957	D	EDNRA	endothelin receptor type A	Plasma Membrane	transmembrane receptor	bosentan, avosentan, clazosentan, ambrisentan, sitaxsentan, zibotentan, SB 234551, TBC 3214, BSF 302146, macitentan, ambrisentan/tadalafil, fandosentan, atrasentan	
NR_045958	D	EDNRA	endothelin receptor type A	Plasma Membrane	transmembrane receptor	bosentan, avosentan, clazosentan, ambrisentan, sitaxsentan, zibotentan, SB 234551, TBC 3214, BSF 302146, macitentan, ambrisentan/tadalafil, fandosentan, atrasentan	
NM_001202438	D	EDRF1	erythroid differentiation regulatory factor 1	Other	other	 	
NR_110859	D	EDRF1	erythroid differentiation regulatory factor 1	Other	other	 	
NR_110858	D	EDRF1	erythroid differentiation regulatory factor 1	Other	other	 	
NR_110857	D	EDRF1	erythroid differentiation regulatory factor 1	Other	other	 	
NM_015608	D	EDRF1	erythroid differentiation regulatory factor 1	Other	other	 	
NR_120633	 	EDRF1-AS1	EDRF1 antisense RNA 1	Other	other	 	
NM_003566	 	EEA1	early endosome antigen 1	Cytoplasm	other	 	
NM_003797	D	EED	embryonic ectoderm development	Nucleus	transcription regulator	 	
NM_001308007	D	EED	embryonic ectoderm development	Nucleus	transcription regulator	 	
NM_001402	 	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	Cytoplasm	translation regulator	 	
NM_001958	 	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	Cytoplasm	translation regulator	 	
NM_001960	D	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Cytoplasm	translation regulator	 	
NM_001130055	D	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Cytoplasm	translation regulator	 	
NM_001130056	D	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Cytoplasm	translation regulator	 	
NM_001130057	D	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Cytoplasm	translation regulator	 	
NM_001130053	D	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Cytoplasm	translation regulator	 	
NM_001289950	D	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Cytoplasm	translation regulator	 	
NM_001317743	D	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Cytoplasm	translation regulator	 	
NM_032378	D	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Cytoplasm	translation regulator	 	
NM_001195203	D	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Cytoplasm	translation regulator	 	
NM_004280	D	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	Cytoplasm	translation regulator	 	
NM_001135650	D	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	Cytoplasm	translation regulator	 	
NR_037618	 	EEF1E1-BLOC1S5	EEF1E1-BLOC1S5 readthrough (NMD candidate)	Other	other	 	
NM_001404	 	EEF1G	eukaryotic translation elongation factor 1 gamma	Cytoplasm	translation regulator	 	
NM_001961	 	EEF2	eukaryotic translation elongation factor 2	Cytoplasm	translation regulator	 	
NM_013302	 	EEF2K	eukaryotic elongation factor 2 kinase	Cytoplasm	kinase	 	
NM_001289029	D	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase	Other	enzyme	 	
NM_201400	D	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase	Other	enzyme	 	
NM_201598	D	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase	Other	enzyme	 	
NM_021937	 	EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA-specific	Cytoplasm	translation regulator	 	
NM_001284266	D	EFCAB11	EF-hand calcium binding domain 11	Other	other	 	
NM_145231	D	EFCAB11	EF-hand calcium binding domain 11	Other	other	 	
