ID	Notes	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
NM_001302815	D	C20orf197	chromosome 20 open reading frame 197	Other	other	 	
NM_173644	D	C20orf197	chromosome 20 open reading frame 197	Other	other	 	
NR_126504	D	C20orf197	chromosome 20 open reading frame 197	Other	other	 	
NM_001009612	 	C20orf202	chromosome 20 open reading frame 202	Other	other	 	
NM_080571	D	C20orf96	chromosome 20 open reading frame 96	Other	other	 	
NM_153269	D	C20orf96	chromosome 20 open reading frame 96	Other	other	 	
NM_001282537	 	C21orf140/LOC102723451	chromosome 21 open reading frame 140	Other	other	 	
NM_198155	D	C21orf33/LOC102724023	chromosome 21 open reading frame 33	Cytoplasm	other	 	
NM_004649	D	C21orf33/LOC102724023	chromosome 21 open reading frame 33	Cytoplasm	other	 	
NM_032561	D	C22orf23	chromosome 22 open reading frame 23	Other	other	 	
NM_001207062	D	C22orf23	chromosome 22 open reading frame 23	Other	other	 	
NM_015370	 	C22orf31	chromosome 22 open reading frame 31	Other	other	 	
NM_015500	 	C2CD2	C2 calcium-dependent domain containing 2	Cytoplasm	other	 	
NM_015531	D	C2CD3	C2 calcium-dependent domain containing 3	Cytoplasm	other	 	
NM_001286577	D	C2CD3	C2 calcium-dependent domain containing 3	Cytoplasm	other	 	
NM_207322	 	C2CD4A	C2 calcium-dependent domain containing 4A	Other	other	 	
NM_001007595	 	C2CD4B	C2 calcium-dependent domain containing 4B	Plasma Membrane	other	 	
NM_032411	 	C2orf40	chromosome 2 open reading frame 40	Extracellular Space	other	 	
NM_182626	 	C2orf48	chromosome 2 open reading frame 48	Other	other	 	
NM_024093	D	C2orf49	chromosome 2 open reading frame 49	Nucleus	other	 	
NM_001286537	D	C2orf49	chromosome 2 open reading frame 49	Nucleus	other	 	
NM_001013649	 	C2orf68	chromosome 2 open reading frame 68	Other	other	 	
NM_001144994	 	C2orf72	chromosome 2 open reading frame 72	Other	other	 	
NM_001042520	D	C2orf88	chromosome 2 open reading frame 88	Other	other	 	
NM_001042521	D	C2orf88	chromosome 2 open reading frame 88	Other	other	 	
NM_032321	D	C2orf88	chromosome 2 open reading frame 88	Other	other	 	
NM_001042519	D	C2orf88	chromosome 2 open reading frame 88	Other	other	 	
NM_000064	 	C3	complement component 3	Extracellular Space	peptidase	IgG	
NM_020685	D	C3orf14	chromosome 3 open reading frame 14	Other	other	 	
NM_001291942	D	C3orf14	chromosome 3 open reading frame 14	Other	other	 	
NM_001291943	D	C3orf14	chromosome 3 open reading frame 14	Other	other	 	
NM_001291941	D	C3orf14	chromosome 3 open reading frame 14	Other	other	 	
NM_025041	 	C3orf36	chromosome 3 open reading frame 36	Other	other	 	
NM_001171747	D	C3orf52	chromosome 3 open reading frame 52	Other	other	 	
NM_024616	D	C3orf52	chromosome 3 open reading frame 52	Other	other	 	
NM_001007534	 	C3orf56	chromosome 3 open reading frame 56	Other	other	 	
NM_001025266	 	C3orf70	chromosome 3 open reading frame 70	Other	other	 	
NM_001168214	 	C3orf80	chromosome 3 open reading frame 80	Other	other	 	
NR_027300	 	C3P1	complement component 3 precursor pseudogene	Other	other	 	
NM_000715	 	C4BPA	complement component 4 binding protein, alpha	Extracellular Space	other	 	
NM_001104629	 	C4orf19	chromosome 4 open reading frame 19	Nucleus	other	 	
NM_152770	D	C4orf22	chromosome 4 open reading frame 22	Other	other	 	
NM_001206997	D	C4orf22	chromosome 4 open reading frame 22	Other	other	 	
NM_017867	 	C4orf27	chromosome 4 open reading frame 27	Nucleus	other	 	
NM_001001701	D	C4orf3	chromosome 4 open reading frame 3	Other	other	 	
NM_001170330	D	C4orf3	chromosome 4 open reading frame 3	Other	other	 	
NM_152400	 	C4orf32	chromosome 4 open reading frame 32	Other	other	 	
NM_001099783	D	C4orf33	chromosome 4 open reading frame 33	Other	other	 	
NM_173487	D	C4orf33	chromosome 4 open reading frame 33	Other	other	 	
NR_077235	D	C4orf46	chromosome 4 open reading frame 46	Other	other	 	
NR_077234	D	C4orf46	chromosome 4 open reading frame 46	Other	other	 	
NM_001008393	D	C4orf46	chromosome 4 open reading frame 46	Other	other	 	
NM_001114357	 	C4orf47	chromosome 4 open reading frame 47	Cytoplasm	other	 	
NM_001736	 	C5AR1	complement component 5a receptor 1	Plasma Membrane	G-protein coupled receptor	 	
NM_001271750	D	C5AR2	complement component 5a receptor 2	Plasma Membrane	G-protein coupled receptor	 	
NM_018485	D	C5AR2	complement component 5a receptor 2	Plasma Membrane	G-protein coupled receptor	 	
NM_001271749	D	C5AR2	complement component 5a receptor 2	Plasma Membrane	G-protein coupled receptor	 	
NM_020199	 	C5orf15	chromosome 5 open reading frame 15	Other	other	 	
NM_022483	 	C5orf28	chromosome 5 open reading frame 28	Other	other	 	
NR_045116	 	C5orf56	chromosome 5 open reading frame 56	Other	other	 	
NM_001164479	 	C5orf63	chromosome 5 open reading frame 63	Cytoplasm	other	 	
NR_126523	D	C5orf64	chromosome 5 open reading frame 64	Other	other	 	
NM_173667	D	C5orf64	chromosome 5 open reading frame 64	Other	other	 	
NR_126524	D	C5orf64	chromosome 5 open reading frame 64	Other	other	 	
NR_126525	D	C5orf64	chromosome 5 open reading frame 64	Other	other	 	
NM_001277348	 	C5orf66	chromosome 5 open reading frame 66	Other	other	 	
NM_001287053	 	C5orf67	chromosome 5 open reading frame 67	Other	other	 	
NR_104464	D	C6orf201	chromosome 6 open reading frame 201	Other	other	 	
NR_104463	D	C6orf201	chromosome 6 open reading frame 201	Other	other	 	
NM_001085401	D	C6orf201	chromosome 6 open reading frame 201	Other	other	 	
NM_001010903	 	C6orf222	chromosome 6 open reading frame 222	Other	other	 	
NM_030939	 	C6orf62	chromosome 6 open reading frame 62	Other	other	 	
NM_001195032	D	C6orf99	chromosome 6 open reading frame 99	Other	other	 	
NM_001302841	D	C6orf99	chromosome 6 open reading frame 99	Other	other	 	
NM_001302839	D	C6orf99	chromosome 6 open reading frame 99	Other	other	 	
NM_001302840	D	C6orf99	chromosome 6 open reading frame 99	Other	other	 	
NM_145304	 	C7orf33	chromosome 7 open reading frame 33	Other	other	 	
NM_001024603	 	C7orf77	chromosome 7 open reading frame 77	Other	other	 	
NM_000562	 	C8A	complement component 8, alpha polypeptide	Extracellular Space	other	 	
NM_001278544	D	C8B	complement component 8, beta polypeptide	Extracellular Space	other	 	
NM_001278543	D	C8B	complement component 8, beta polypeptide	Extracellular Space	other	 	
NM_000066	D	C8B	complement component 8, beta polypeptide	Extracellular Space	other	 	
NM_000606	 	C8G	complement component 8, gamma polypeptide	Extracellular Space	transporter	 	
NM_001195639	D	C8orf34	chromosome 8 open reading frame 34	Other	other	 	
NM_052958	D	C8orf34	chromosome 8 open reading frame 34	Other	other	 	
NR_038201	D	C8orf37-AS1	C8orf37 antisense RNA 1	Other	other	 	
NR_038207	D	C8orf37-AS1	C8orf37 antisense RNA 1	Other	other	 	
NR_038209	D	C8orf37-AS1	C8orf37 antisense RNA 1	Other	other	 	
NR_038208	D	C8orf37-AS1	C8orf37 antisense RNA 1	Other	other	 	
NR_038206	D	C8orf37-AS1	C8orf37 antisense RNA 1	Other	other	 	
NR_038205	D	C8orf37-AS1	C8orf37 antisense RNA 1	Other	other	 	
NR_038204	D	C8orf37-AS1	C8orf37 antisense RNA 1	Other	other	 	
NR_038203	D	C8orf37-AS1	C8orf37 antisense RNA 1	Other	other	 	
NR_038202	D	C8orf37-AS1	C8orf37 antisense RNA 1	Other	other	 	
NM_020130	 	C8orf4	chromosome 8 open reading frame 4	Nucleus	other	 	
NM_152765	 	C8orf46	chromosome 8 open reading frame 46	Other	other	 	
NR_103552	 	C8orf49	chromosome 8 open reading frame 49	Other	other	 	
NM_032847	 	C8orf76	chromosome 8 open reading frame 76	Other	other	 	
NM_001098808	 	C9orf129	chromosome 9 open reading frame 129	Other	other	 	
NM_001040411	D	C9orf131	chromosome 9 open reading frame 131	Other	other	 	
NM_001040412	D	C9orf131	chromosome 9 open reading frame 131	Other	other	 	
NM_207511	 	C9orf139	chromosome 9 open reading frame 139	Other	other	 	
NM_183241	 	C9orf142	chromosome 9 open reading frame 142	Cytoplasm	other	 	
NM_024112	 	C9orf16	chromosome 9 open reading frame 16	Other	other	 	
NM_152571	 	C9orf163	chromosome 9 open reading frame 163	Other	other	 	
NM_001080482	 	C9orf172	chromosome 9 open reading frame 172	Other	other	 	
NM_001256700	D	C9orf173	chromosome 9 open reading frame 173	Other	other	 	
NM_001256701	D	C9orf173	chromosome 9 open reading frame 173	Other	other	 	
NR_046340	D	C9orf173	chromosome 9 open reading frame 173	Other	other	 	
NM_001256699	D	C9orf173	chromosome 9 open reading frame 173	Other	other	 	
NM_001004353	D	C9orf173	chromosome 9 open reading frame 173	Other	other	 	
NR_046339	D	C9orf173	chromosome 9 open reading frame 173	Other	other	 	
NR_038389	 	C9orf173-AS1	C9orf173 antisense RNA 1	Other	other	 	
NM_032823	D	C9orf3	chromosome 9 open reading frame 3	Cytoplasm	peptidase	 	
NM_001193331	D	C9orf3	chromosome 9 open reading frame 3	Cytoplasm	peptidase	 	
NM_001193329	D	C9orf3	chromosome 9 open reading frame 3	Cytoplasm	peptidase	 	
NR_121183	 	C9orf41-AS1	C9orf41 antisense RNA 1	Other	other	 	
NM_001278630	D	C9orf43	chromosome 9 open reading frame 43	Other	other	 	
NM_152786	D	C9orf43	chromosome 9 open reading frame 43	Other	other	 	
NM_001278629	D	C9orf43	chromosome 9 open reading frame 43	Other	other	 	
NR_134506	D	C9orf69	chromosome 9 open reading frame 69	Other	other	 	
NM_152833	D	C9orf69	chromosome 9 open reading frame 69	Other	other	 	
NM_001256526	D	C9orf69	chromosome 9 open reading frame 69	Other	other	 	
NR_073471	D	C9orf92	chromosome 9 open reading frame 92	Other	other	 	
NM_001271829	D	C9orf92	chromosome 9 open reading frame 92	Other	other	 	
NM_020178	D	CA10	carbonic anhydrase X	Other	enzyme	 	
NM_001082534	D	CA10	carbonic anhydrase X	Other	enzyme	 	
NM_001082533	D	CA10	carbonic anhydrase X	Other	enzyme	 	
NM_206925	D	CA12	carbonic anhydrase XII	Plasma Membrane	enzyme	methazolamide, hydrochlorothiazide, acetazolamide, trichloromethiazide, chlorothiazide, chlorthalidone, benzthiazide, sulfacetamide, topiramate	
NM_001218	D	CA12	carbonic anhydrase XII	Plasma Membrane	enzyme	methazolamide, hydrochlorothiazide, acetazolamide, trichloromethiazide, chlorothiazide, chlorthalidone, benzthiazide, sulfacetamide, topiramate	
NM_001293642	D	CA12	carbonic anhydrase XII	Plasma Membrane	enzyme	methazolamide, hydrochlorothiazide, acetazolamide, trichloromethiazide, chlorothiazide, chlorthalidone, benzthiazide, sulfacetamide, topiramate	
NM_000717	 	CA4	carbonic anhydrase IV	Plasma Membrane	enzyme	ethoxyzolamide, dichlorphenamide, phentermine/topiramate, methazolamide, hydrochlorothiazide, acetazolamide, trichloromethiazide, chlorothiazide, chlorothiazide/reserpine, chlorthalidone, benzthiazide, sulfacetamide, topiramate	
NM_007220	 	CA5B	carbonic anhydrase VB, mitochondrial	Cytoplasm	enzyme	methazolamide, hydrochlorothiazide, acetazolamide, trichloromethiazide, chlorothiazide, chlorthalidone, benzthiazide, sulfacetamide, topiramate	
NM_030925	D	CAB39L	calcium binding protein 39 like	Cytoplasm	kinase	 	
NM_001287338	D	CAB39L	calcium binding protein 39 like	Cytoplasm	kinase	 	
NM_001287339	D	CAB39L	calcium binding protein 39 like	Cytoplasm	kinase	 	
NM_001287337	D	CAB39L	calcium binding protein 39 like	Cytoplasm	kinase	 	
NM_001079670	D	CAB39L	calcium binding protein 39 like	Cytoplasm	kinase	 	
NM_001256438	D	CABLES1	Cdk5 and Abl enzyme substrate 1	Nucleus	other	 	
NM_001100619	D	CABLES1	Cdk5 and Abl enzyme substrate 1	Nucleus	other	 	
NR_023359	D	CABLES1	Cdk5 and Abl enzyme substrate 1	Nucleus	other	 	
NM_138375	D	CABLES1	Cdk5 and Abl enzyme substrate 1	Nucleus	other	 	
NM_001318496	D	CABP2	calcium binding protein 2	Other	other	 	
NM_016366	D	CABP2	calcium binding protein 2	Other	other	 	
NM_001300895	D	CABP4	calcium binding protein 4	Plasma Membrane	other	 	
NM_145200	D	CABP4	calcium binding protein 4	Plasma Membrane	other	 	
NM_001300896	D	CABP4	calcium binding protein 4	Plasma Membrane	other	 	
NM_012189	D	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	Cytoplasm	other	 	
NM_153769	D	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	Cytoplasm	other	 	
NM_153768	D	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	Cytoplasm	other	 	
NM_138644	D	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	Cytoplasm	other	 	
NM_138643	D	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	Cytoplasm	other	 	
NM_153770	D	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	Cytoplasm	other	 	
NM_001308231	D	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	Cytoplasm	other	 	
NM_020925	D	CACHD1	cache domain containing 1	Other	other	 	
NM_001293274	D	CACHD1	cache domain containing 1	Other	other	 	
NM_001127222	D	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	Plasma Membrane	ion channel	clevidipine butyrate, bepridil, pregabalin	
NM_001127221	D	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	Plasma Membrane	ion channel	clevidipine butyrate, bepridil, pregabalin	
NM_023035	D	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	Plasma Membrane	ion channel	clevidipine butyrate, bepridil, pregabalin	
NM_000068	D	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	Plasma Membrane	ion channel	clevidipine butyrate, bepridil, pregabalin	
NM_001174080	D	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	Plasma Membrane	ion channel	clevidipine butyrate, bepridil, pregabalin	
NM_001129840	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129842	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129844	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129835	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129836	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129837	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129830	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129831	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129832	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129833	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129838	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_000719	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001167623	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129827	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129841	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129843	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001129846	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001167625	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
NM_001167624	D	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Plasma Membrane	ion channel	cinnarizine, MEM-1003, amlodipine/olmesartan medoxomil, clevidipine butyrate, amlodipine/hydrochlorothiazide/valsartan, amlodipine/telmisartan, aliskiren/amlodipine, amlodipine/hydrochlorothiazide/olmesartan medoxomil, aliskiren/amlodipine/hydrochlorothiazide, nilvadipine, amlodipine/valsartan, amlodipine/perindopril, amlodipine/benazepril, diltiazem, verapamil, mibefradil, bepridil, enalapril/felodipine, amlodipine/atorvastatin, nisoldipine, isradipine, felodipine, nimodipine, nitrendipine, amlodipine, nicardipine, nifedipine, ibutilide, trandolapril/verapamil, diltiazem/enalapril	
